t,AGFF,DGFF
-10.0,1.4509333353983035e-05,0.0
-9.8,1.539292083695229e-05,0.0
-9.6,1.634972791274872e-05,0.0
-9.4,1.7387506884789826e-05,0.0
-9.2,1.8515004820967225e-05,0.0
-9.0,1.974213223285683e-05,0.0
-8.8,2.1080140843873322e-05,0.0
-8.6,2.2541843078040238e-05,0.0
-8.4,2.4141713882425672e-05,0.0
-8.2,2.5896811396547852e-05,0.0
-8.0,2.7826245598567953e-05,0.0
-7.8,2.9952367903174418e-05,0.0
-7.6,3.230054367790744e-05,0.0
-7.4,3.490054341714101e-05,0.0
-7.199999999999999,3.77876994067922e-05,0.0
-7.0,4.100201990051482e-05,0.0
-6.8,4.459148528808157e-05,0.0
-6.6,4.861245836432956e-05,0.0
-6.4,5.313177963812253e-05,0.0
-6.199999999999999,5.8229107407200404e-05,0.0
-6.0,6.400006279420648e-05,0.0
-5.8,7.05593190382065e-05,0.0
-5.6,7.804640422754761e-05,0.0
-5.3999999999999995,8.66313642720826e-05,0.0
-5.199999999999999,9.652304162506559e-05,0.0
-5.0,0.00010797982454850031,0.0
-4.8,0.00012132390752374653,0.0
-4.6,0.00013696044749284575,0.0
-4.3999999999999995,0.00015540376038828278,0.0
-4.199999999999999,0.00017731290656077767,0.0
-4.0,0.0002035418082463,0.0
-3.8,0.0002352098707092903,0.0
-3.5999999999999996,0.000273803126301958,0.0
-3.3999999999999995,0.00032132310209203327,0.0
-3.1999999999999993,0.0003805075390974487,0.0
-3.0,0.0004551666970180908,0.0
-2.8,0.0005507069035227308,0.0
-2.5999999999999996,0.0006749714913262576,0.0
-2.3999999999999995,0.0008396192620662587,0.0
-2.1999999999999993,0.0010624824600979795,0.0
-2.0,0.0013717421471925145,0.0
-1.799999999999999,0.0018136707432772283,0.0
-1.5999999999999996,0.0024677709700159337,0.0
-1.4000000000000004,0.003478309165717294,0.0
-1.1999999999999993,0.0051252614194227586,0.0
-1.0,0.007999999874220596,0.0
-0.7999999999999989,0.013497462329168862,0.0
-0.5999999999999996,0.025442703025595863,0.0
-0.3999999999999986,0.056895766987785264,0.0
-0.1999999999999993,0.17146776403595385,0.0
0.0,0.9999999996941809,0.0
