t,AGFF,DGFF
-10.0,0.00309819883234283,-1.4509365795621073e-05
-9.8,0.0032550406130818967,-1.5392949364215775e-05
-9.6,0.0034226500845485454,-1.6349758213235644e-05
-9.4,0.003601967399640687,-1.7387537753560724e-05
-9.2,0.0037940329522393765,-1.8515037691432533e-05
-9.0,0.003999999998896134,-1.9742167295125654e-05
-8.8,0.004221149410567726,-2.1080178712695878e-05
-8.6,0.0044589062796200635,-2.254188417330706e-05
-8.4,0.004714859268002018,-2.4141914283843626e-05
-8.2,0.004990782988722154,-2.589702637912543e-05
-8.0,0.005288663817402091,-2.782647410746584e-05
-7.8,0.005610730021352844,-2.995245227915397e-05
-7.6,0.005959486844644379,-3.2300634668710475e-05
-7.4,0.00633775748731525,-3.490082720544608e-05
-7.199999999999999,0.006748731208989951,-3.778776516808452e-05
-7.0,0.007196019899141065,-4.1002091106646436e-05
-6.8,0.007683725071438521,-4.459156092223909e-05
-6.6,0.00821651676250209,-4.86125397796413e-05
-6.4,0.008799727733532676,-5.313186862231615e-05
-6.199999999999999,0.009439466090354193,-5.8229207863831244e-05
-6.0,0.010142749770414336,-6.399999999999998e-05
-5.8,0.010917668798911194,-7.055924125672219e-05
-5.6,0.011773581274062533,-7.804631955409954e-05
-5.3999999999999995,0.01272135144717692,-8.663127028471197e-05
-5.199999999999999,0.013773640327113226,-9.652293500763307e-05
-5.0,0.014945262131167345,-0.0001079796998164345
-4.8,0.016253623881382843,-0.00012132376849095555
-4.6,0.01771927066658163,-0.00013696033519124598
-4.3999999999999995,0.0193665660186451,-0.00015540363296397006
-4.199999999999999,0.021224546163241407,-0.0001773127612703538
-4.0,0.02332799988448047,-0.00020354162426216158
-3.8,0.025718843299540946,-0.0002352095528948651
-3.5999999999999996,0.028447883348333203,-0.0002738027700078637
-3.3999999999999995,0.03157709788969087,-0.0003213227185444339
-3.1999999999999993,0.035182609665006914,-0.0003805070789536971
-3.0,0.039358600506550497,-0.0004551661356395085
-2.8,0.04422251353112936,-0.0005507068873606162
-2.5999999999999996,0.04992204210914407,-0.0006749715162020166
-2.3999999999999995,0.05664462430963155,-0.0008396192830323022
-2.1999999999999993,0.06463050156463913,-0.0010624824690392617
-2.0,0.07419092209091313,-0.0013717421124828531
-1.799999999999999,0.08573388207990443,-0.001813670724452637
-1.5999999999999996,0.09980110972201875,-0.002467770911890709
-1.4000000000000004,0.11712213096549681,-0.0034783092634332272
-1.1999999999999993,0.13869483034994123,-0.005125261388330813
-1.0,0.16590805643930107,-0.007999999999999998
-0.7999999999999989,0.20073266048676067,-0.013497462477054353
-0.5999999999999996,0.24602711772717442,-0.025442703032770228
-0.3999999999999986,0.3060412287566067,-0.05689576695493893
-0.1999999999999993,0.3872748600774143,-0.17146776406035744
0.0,0.5000000001236801,-1.0
