t,AGFF,DGFF
-10.0,0.004647298110987195,0.0
-9.8,0.004882560771471003,0.0
-9.6,0.005133974972338345,0.0
-9.4,0.005402950915923779,0.0
-9.2,0.005691049174664635,0.0
-9.0,0.005999999729018895,0.0
-8.8,0.006331723824085143,0.0
-8.6,0.006688359108450632,0.0
-8.4,0.007072288592596473,0.0
-8.2,0.007486174523002689,0.0
-8.0,0.0079329957699795,0.0
-7.8,0.008416095088168856,0.0
-7.6,0.008939230327817765,0.0
-7.4,0.009506636293060282,0.0
-7.199999999999999,0.010123096885316478,0.0
-7.0,0.01079402999796003,0.0
-6.8,0.011525587742505727,0.0
-6.6,0.012324775206243038,0.0
-6.4,0.013199591671022231,0.0
-6.199999999999999,0.01415919921298633,0.0
-6.0,0.015214124762028,0.0
-5.8,0.016376503330742656,0.0
-5.6,0.017660372056744592,0.0
-5.3999999999999995,0.01908202733036076,0.0
-5.199999999999999,0.020660460666047605,0.0
-5.0,0.022417893378093894,0.0
-4.8,0.02438043602358013,0.0
-4.6,0.026578906212859413,0.0
-4.3999999999999995,0.02904984926747943,0.0
-4.199999999999999,0.03183681950759036,0.0
-4.0,0.03499200012836171,0.0
-3.8,0.038578265298630114,0.0
-3.5999999999999996,0.04267182536330326,0.0
-3.3999999999999995,0.04736564719428994,0.0
-3.1999999999999993,0.052773914900515306,0.0
-3.0,0.05903790075802419,0.0
-2.8,0.06633377040874973,0.0
-2.5999999999999996,0.07488306322559428,0.0
-2.3999999999999995,0.08496693627343922,0.0
-2.1999999999999993,0.0969457521662842,0.0
-2.0,0.11128638300228982,0.0
-1.799999999999999,0.12860082302401213,0.0
-1.5999999999999996,0.14970166448391237,0.0
-1.4000000000000004,0.17568319633279506,0.0
-1.1999999999999993,0.20804224537604418,0.0
-1.0,0.24886208460708767,0.0
-0.7999999999999989,0.3010989905965361,0.0
-0.5999999999999996,0.36904067639707017,0.0
-0.3999999999999986,0.45906184289028656,0.0
-0.1999999999999993,0.5809122898116684,0.0
0.0,0.7499999998262277,0.0
