t,AGFF,DGFF
-10.0,0.0015026296398247072,7.254682897810536e-06
-9.5,0.0017276752130118084,8.429002511842749e-06
-9.0,0.0020000000157210443,9.871083647562827e-06
-8.5,0.0023327016225610786,1.1661807580174926e-05
-8.0,0.0027434841472030935,1.391323705373292e-05
-7.5,0.0032566658967052593,1.6783592360108757e-05
-7.0,0.003906250063745122,2.0501045553323218e-05
-6.5,0.0047407407695000256,2.540263171264543e-05
-6.0,0.005830903814832062,3.199999999999999e-05
-5.5,0.007282658062602165,4.1094764526999254e-05
-5.0,0.009259259093242118,5.398984990821725e-05
-4.5,0.012021036664864912,7.289692374981774e-05
-4.0,0.01599999982229631,0.00010177081213108079
-3.5,0.021947873844470268,0.00014814814814814815
-3.0,0.031250000030424184,0.00022758306781975424
-2.5,0.046647230349852534,0.0003756574004507889
-2.0,0.07407407411984322,0.0006858710562414266
-1.5,0.12800000000496892,0.0014577259475218656
-1.0,0.24999999995901012,0.003999999999999999
-0.5,0.5925925924057096,0.018518518518518514
0.0,1.9999999994147846,0.5
