E,t,xsec
9.92,-0.63,226.7246680968522
9.93,-0.73,169.2551634821259
10.08,-0.6,261.65665900703954
10.08,-0.7,128.68352263931496
10.08,-0.8,208.99464112385834
10.08,-0.9,183.7076387302909
10.07,-1.05,141.2849445697331
10.23,-0.57,308.40641077465216
10.23,-0.67,297.46272897911234
10.23,-0.77,231.85603769344277
10.23,-0.87,225.14364998759496
10.22,-0.97,333.5696148260455
10.23,-1.12,112.0808046131443
10.38,-0.54,205.4492801740643
10.38,-0.64,543.4012320461161
10.38,-0.74,198.54807535092536
10.38,-0.84,214.46158328069518
10.38,-0.94,105.60618200216962
10.38,-1.09,84.28399952427972
10.56,-0.51,336.3790089641415
10.56,-0.61,169.0920847932059
10.55,-0.71,155.49174651977918
10.55,-0.81,157.6738576414147
10.55,-0.91,376.60719718756496
10.55,-1.06,331.7072374687153
10.54,-1.26,72.49246270251382
9.17,-0.87,80.60332414594782
9.18,-0.96,127.73035986749599
9.18,-1.06,104.99822237808866
9.33,-0.8,121.25545228278337
9.33,-0.92,115.68899109756043
9.33,-1.07,109.32987612056864
9.33,-1.25,83.74427102083774
9.48,-0.75,288.2554571403267
9.48,-0.85,622.594956454579
9.48,-0.95,247.32672721301495
9.48,-1.1,323.02332198597463
9.48,-1.3,50.36389668809151
9.63,-0.71,176.3765755466896
9.63,-0.81,223.88215687373267
9.63,-0.91,147.4572435292345
9.63,-1.03,121.68510644251054
9.63,-1.18,253.33543158085627
9.63,-1.36,49.913661217902934
9.78,-0.67,326.02690219177674
9.78,-0.77,217.31143874100823
9.78,-0.87,141.48291811481892
9.78,-0.99,137.65375157225213
9.78,-1.17,89.80094627926506
9.78,-1.43,102.04971016859746
9.93,-0.68,286.69711729962916
9.93,-0.88,468.4923278045631
9.93,-1.1,743.9027159130969
8.8,-1.93,31.321034911888848
9.0,-2.24,21.244233960382868
9.0,-2.64,8.39391319871572
9.18,-2.34,22.458775083942864
9.17,-2.87,9.986860334516821
9.32,-2.61,17.440030252824418
9.33,-3.15,9.795667458561713
9.48,-2.73,16.041562141530815
9.47,-3.29,8.865761456896822
9.62,-2.99,11.749203579490619
9.62,-3.54,7.216687575030378
9.77,-3.18,11.374087372827853
9.77,-3.76,5.9554248443451
9.92,-3.33,9.507140879323096
9.93,-3.92,4.693757195472385
10.08,-3.67,7.3790727198799
10.08,-4.29,3.892462623394359
10.23,-4.49,12.104166179229168
10.39,-4.25,4.278247857897654
10.38,-4.74,2.9918846495364013
10.53,-4.54,3.52811981126845
9.18,-0.98,108.20066299663927
9.18,-1.13,89.72606702821534
9.33,-1.02,107.71719712269173
9.32,-1.28,136.85911685489933
9.33,-1.54,58.062232775832136
9.48,-1.14,180.83177118321296
9.48,-1.44,125.49909977235858
9.47,-1.75,47.23643362338006
9.63,-1.2,89.66957877331612
9.63,-1.54,76.12652682405164
9.63,-1.97,38.390885787416394
9.78,-1.43,102.04971016859746
9.78,-1.78,178.91083318598095
9.78,-2.15,32.6801110280552
9.92,-1.71,53.73661431263761
9.92,-2.27,29.688584316586965
10.07,-1.75,178.89727597662628
10.07,-2.35,28.231915383594806
10.23,-1.99,61.18471318608269
10.23,-2.61,22.3122462217528
10.38,-2.11,67.36246345256144
10.38,-2.73,20.406160264204242
10.55,-2.52,24.287832894140852
9.14,-0.92,119.22078212075016
8.96,-1.25,74.4168969589831
8.8,-1.72,40.40821046991867
8.77,-2.24,22.44547773426875
8.78,-2.94,13.815746189234012
8.95,-3.92,2.5499101045541264
9.1,-4.95,1.2429613711602228
10.0,-0.69,205.38189301625715
9.85,-0.87,99.97898629927566
9.83,-1.21,137.08527362353811
9.83,-1.71,60.58727728732097
9.82,-2.24,29.934097101960116
9.84,-2.97,12.234367595623787
9.86,-3.89,5.626685095750844
9.76,-5.06,1.5747446996493848
9.93,-6.37,0.483519673578488
10.96,-0.46,280.560041383302
10.87,-0.6,233.75893267333214
10.85,-0.88,427.08032884068865
10.86,-1.18,169.3116672479946
10.86,-1.69,73.9506476527968
10.83,-2.24,39.11338663656595
10.82,-2.87,16.704448502195383
10.81,-3.92,7.079954729100155
10.78,-4.93,2.3311456027141215
10.7,-6.97,0.4326087018823537
10.7,-8.36,0.11089401767216703
