E,t,xsec
9.92,-0.63,185.442835441472
9.93,-0.73,163.6880535797601
10.08,-0.6,200.0786723640174
10.08,-0.7,176.29298545843142
10.08,-0.8,155.31819612407702
10.08,-0.9,137.0367583043642
10.07,-1.05,113.39837971371972
10.23,-0.57,214.92270689655615
10.23,-0.67,189.45087352186985
10.23,-0.77,167.0675458916972
10.23,-0.87,147.42107866976644
10.22,-0.97,129.87383612553808
10.23,-1.12,108.20252389368595
10.38,-0.54,230.45231154766512
10.38,-0.64,203.23456639601562
10.38,-0.74,179.2924618947471
10.38,-0.84,158.32527109230318
10.38,-0.94,139.73442390748926
10.38,-1.09,116.29237340700958
10.56,-0.51,248.12769440837928
10.56,-0.61,218.9579284305921
10.55,-0.71,192.8686747609668
10.55,-0.81,170.3209936952816
10.55,-0.91,150.54096981971605
10.55,-1.06,125.2924975948291
10.54,-1.26,98.1849702780302
9.17,-0.87,110.03919702488018
9.18,-0.96,98.1866203104496
9.18,-1.06,86.24396454852287
9.33,-0.8,126.91146151800908
9.33,-0.92,108.58155543652917
9.33,-1.07,89.51060802708207
9.33,-1.25,71.1500979837957
9.48,-0.75,141.50127069727324
9.48,-0.85,124.38009298413303
9.48,-0.95,109.39140842219962
9.48,-1.1,90.3480916541028
9.48,-1.3,70.1946123149488
9.63,-0.71,155.3744969062623
9.63,-0.81,136.6598746053016
9.63,-0.91,120.26579058741315
9.63,-1.03,103.26610996681305
9.63,-1.18,85.48834741498271
9.63,-1.36,68.30611247111554
9.78,-0.67,170.15675413085972
9.78,-0.77,149.74901946934133
9.78,-0.87,131.8586414335167
9.78,-0.99,113.29299064981898
9.78,-1.17,90.42175565713148
9.78,-1.43,65.59261434584094
9.93,-0.68,174.43065580131923
9.93,-0.88,135.38227193286707
9.93,-1.1,102.78989152255053
8.8,-1.93,24.152328346396512
9.0,-2.24,18.01124751406665
9.0,-2.64,10.975024769460424
9.18,-2.34,17.3430595233533
9.17,-2.87,9.071679807080633
9.32,-2.61,13.35697844965298
9.33,-3.15,7.0685960727231025
9.48,-2.73,12.464531306598365
9.47,-3.29,6.453744729316955
9.62,-2.99,9.81059614015421
9.62,-3.54,5.2276620451658244
9.77,-3.18,8.44496740416035
9.77,-3.76,4.401118480175679
9.92,-3.33,7.620783775097959
9.93,-3.92,3.991767492919943
10.08,-3.67,5.621875399828445
10.08,-4.29,2.8751429741812258
10.23,-4.49,2.5020974275774956
10.39,-4.25,3.4704149812671328
10.38,-4.74,2.0718570853310654
10.53,-4.54,2.733234198874771
9.18,-0.98,95.66755638109818
9.18,-1.13,78.79066223309256
9.33,-1.02,95.44504149857136
9.32,-1.28,68.26108556130275
9.33,-1.54,49.39425825915656
9.48,-1.14,85.87965308762682
9.48,-1.44,58.937311788983834
9.47,-1.75,40.072225586078275
9.63,-1.2,83.37182592200685
9.63,-1.54,54.71537711888146
9.63,-1.97,32.51169219372947
9.78,-1.43,65.59261434584094
9.78,-1.78,42.9351801981929
9.78,-2.15,27.68922886752181
9.92,-1.71,48.76774436011942
9.92,-2.27,25.266550773282074
10.07,-1.75,48.615857979606055
10.07,-2.35,24.233363871250702
10.23,-1.99,38.47220033202468
10.23,-2.61,19.04802424976837
10.38,-2.11,34.99473711242234
10.38,-2.73,17.507489047388386
10.55,-2.52,23.222989914403865
9.14,-0.92,102.0556470898052
8.96,-1.25,62.20786843880966
8.8,-1.72,31.64809606487979
8.77,-2.24,16.002833283026135
8.78,-2.94,6.61377303756891
8.95,-3.92,2.1624004850141083
9.1,-4.95,0.6554206529459293
10.0,-0.69,175.17254485183852
9.85,-0.87,134.31171765126282
9.83,-1.21,87.25962682780775
9.83,-1.71,47.43900234235388
9.82,-2.24,25.273654013280026
9.84,-2.97,11.028104964100173
9.86,-3.89,3.9850050419871588
9.76,-5.06,1.012342377189909
9.93,-6.37,0.25122382057897996
10.96,-0.46,284.28724921577106
10.87,-0.6,235.18634258526842
10.85,-0.88,165.9063033696111
10.86,-1.18,115.70655658239743
10.86,-1.69,63.73263253506189
10.83,-2.24,34.0911218737381
10.82,-2.87,17.1792907304737
10.81,-3.92,5.749842601912181
10.78,-4.93,2.0553032717983815
10.7,-6.97,0.2470264691411143
10.7,-8.36,0.050904619146649226
