E,t,xsec
9.92,-0.63,0.3075187596687569
9.93,-0.73,0.15332019430643626
10.08,-0.6,0.4066319394234167
10.08,-0.7,0.19801460022404324
10.08,-0.8,0.10305294439416217
10.08,-0.9,0.05662306480143299
10.07,-1.05,0.024946511710311956
10.23,-0.57,0.5377371618776731
10.23,-0.67,0.2562623670642598
10.23,-0.77,0.1311053985938924
10.23,-0.87,0.07105071818957283
10.22,-0.97,0.04024333498290394
10.23,-1.12,0.018619719224470622
10.38,-0.54,0.7143666831319971
10.38,-0.64,0.3325732729406954
10.38,-0.74,0.1670423318412701
10.38,-0.84,0.0891970225807628
10.38,-0.94,0.05009044484672131
10.38,-1.09,0.022767573787868187
10.56,-0.51,0.9621044602132016
10.56,-0.61,0.43681179432399325
10.55,-0.71,0.21452171927490668
10.55,-0.81,0.1127643303661411
10.55,-0.91,0.06252294390673656
10.55,-1.06,0.027994964028082287
10.54,-1.26,0.010767817634894898
9.17,-0.87,0.04516231954199804
9.18,-0.96,0.026926905156343477
9.18,-1.06,0.015652061461095292
9.33,-0.8,0.07553358577648785
9.33,-0.92,0.036594118749526776
9.33,-1.07,0.016136549197714678
9.33,-1.25,0.006670723019008986
9.48,-0.75,0.111861476172056
9.48,-0.85,0.059479536143644755
9.48,-0.95,0.03322054585393633
9.48,-1.1,0.014948931024006837
9.48,-1.3,0.005759395077550519
9.63,-0.71,0.15605710455684643
9.63,-0.81,0.08129659383035097
9.63,-0.91,0.04465983517181001
9.63,-1.03,0.02305601102090642
9.63,-1.18,0.010844733189264676
9.63,-1.36,0.0047739449477301734
9.78,-0.67,0.21876638952227676
9.78,-0.77,0.11141958251920381
9.78,-0.87,0.06010332486034202
9.78,-0.99,0.03049009678604599
9.78,-1.17,0.012191442917200345
9.78,-1.43,0.0038162470855211943
9.93,-0.68,0.21565757880627345
9.93,-0.88,0.060128598087182135
9.93,-1.1,0.018315106822112966
8.8,-1.93,0.0002848782342715106
9.0,-2.24,0.00011891375275378531
9.0,-2.64,3.370183152249033e-05
9.18,-2.34,0.0001021897368879032
9.17,-2.87,2.080638897063231e-05
9.32,-2.61,5.126368679679758e-05
9.33,-3.15,1.1490388652131293e-05
9.48,-2.73,4.19132870838331e-05
9.47,-3.29,9.274012746871626e-06
9.62,-2.99,2.3356821225460957e-05
9.62,-3.54,5.806856034517577e-06
9.77,-3.18,1.6288367230013628e-05
9.77,-3.76,4.012272768020877e-06
9.92,-3.33,1.2741079205044718e-05
9.93,-3.92,3.265195870833096e-06
10.08,-3.67,6.5590135046068865e-06
10.08,-4.29,1.6868324192460873e-06
10.23,-4.49,1.2883247647096212e-06
10.39,-4.25,2.4287846510994864e-06
10.38,-4.74,9.01116594963491e-07
10.53,-4.54,1.5244393315125613e-06
9.18,-0.98,0.02408562733788367
9.18,-1.13,0.010929676174067166
9.33,-1.02,0.021002523068153818
9.32,-1.28,0.005775056326773308
9.33,-1.54,0.0019038172223056272
9.48,-1.14,0.012239826250157288
9.48,-1.44,0.0031355791856254585
9.47,-1.75,0.0009256422848509679
9.63,-1.2,0.009858390907999297
9.63,-1.54,0.002261204648514488
9.63,-1.97,0.0004713851146979767
9.78,-1.43,0.0038162470855211943
9.78,-1.78,0.0009915252709359194
9.78,-2.15,0.00028727828895682827
9.92,-1.71,0.001371398602527055
9.92,-2.27,0.00021549815105848753
10.07,-1.75,0.001274504074534731
10.07,-2.35,0.00018493605186104163
10.23,-1.99,0.0006061409341724583
10.23,-2.61,9.726396006573303e-05
10.38,-2.11,0.0004435125041872657
10.38,-2.73,7.669486054515917e-05
10.55,-2.52,0.0001459330964707802
9.14,-0.92,0.03308152610352783
8.96,-1.25,0.005299976078566584
8.8,-1.72,0.0006286762621742095
8.77,-2.24,9.262081509051763e-05
8.78,-2.94,9.817406684808123e-06
8.95,-3.92,6.960637859368855e-07
9.1,-4.95,4.8285940279679056e-08
10.0,-0.69,0.20628007589205666
9.85,-0.87,0.061816127809033915
9.83,-1.21,0.010309574239182589
9.83,-1.71,0.0013111933214129917
9.82,-2.24,0.00022255580108036308
9.84,-2.97,2.9357888222543283e-05
9.86,-3.89,3.2589270255800083e-06
9.76,-5.06,2.117557093814573e-07
9.93,-6.37,2.4174544964215237e-08
10.96,-0.46,1.6387141830132994
10.87,-0.6,0.511028188210001
10.85,-0.88,0.08090073757442953
10.86,-1.18,0.01715330881089528
10.86,-1.69,0.002152253735629738
10.83,-2.24,0.00036161281568503116
10.82,-2.87,6.67668765340285e-05
10.81,-3.92,6.393761262756882e-06
10.78,-4.93,8.905587369366167e-07
10.7,-6.97,2.6193072952980998e-08
10.7,-8.36,6.892908225539872e-09
