E,t,xsec
9.92,-0.63,1.9737546603182752
9.93,-0.73,1.9579648142518906
10.08,-0.6,1.8321564532127217
10.08,-0.7,1.8809940482881102
10.08,-0.8,1.8035603034442849
10.08,-0.9,1.666707072724673
10.07,-1.05,1.4319295102258751
10.23,-0.57,1.6819965981460827
10.23,-0.67,1.7922899189518944
10.23,-0.77,1.7543904067072462
10.23,-0.87,1.6410022467332088
10.22,-0.97,1.5002328888330612
10.23,-1.12,1.2700787643710412
10.38,-0.54,1.5188727080769189
10.38,-0.64,1.691376352991036
10.38,-0.74,1.6970351791595866
10.38,-0.84,1.6103336529151238
10.38,-0.94,1.4811796047946353
10.38,-1.09,1.2665255157100261
10.56,-0.51,1.3348985763145498
10.56,-0.61,1.5627735076770777
10.55,-0.71,1.6208981404329235
10.55,-0.81,1.565229236536126
10.55,-0.91,1.4550541077379682
10.55,-1.06,1.255430894127133
10.54,-1.26,1.0002984390849397
9.17,-0.87,2.2310471244054337
9.18,-0.96,2.017633683676105
9.18,-1.06,1.7922130472911064
9.33,-0.8,2.2662066935794862
9.33,-0.92,2.0198733598183516
9.33,-1.07,1.6997570312201047
9.33,-1.25,1.3583715878301177
9.48,-0.75,2.2398780862213936
9.48,-0.85,2.0726405420676692
9.48,-0.95,1.8736835611443445
9.48,-1.1,1.5747808253339899
9.48,-1.3,1.2277236135540872
9.63,-0.71,2.174667584078678
9.63,-0.81,2.049553342182926
9.63,-0.91,1.8727007707460277
9.63,-1.03,1.6439109926777893
9.63,-1.18,1.373646985595092
9.63,-1.36,1.09701571366387
9.78,-0.67,2.08498233313907
9.78,-0.77,2.0123384804420383
9.78,-0.87,1.8638963510652535
9.78,-0.99,1.6515090610070902
9.78,-1.17,1.338823848635037
9.78,-1.43,0.9692758029561455
9.93,-0.68,1.9804611679915316
9.93,-0.88,1.7697878462163155
9.93,-1.1,1.4014386406758943
8.8,-1.93,0.6611964414080002
9.0,-2.24,0.43973324333456953
9.0,-2.64,0.2850998666137992
9.18,-2.34,0.37725315362859296
9.17,-2.87,0.21691054034934087
9.32,-2.61,0.2734734725554405
9.33,-3.15,0.1594413651750453
9.48,-2.73,0.23313296372973616
9.47,-3.29,0.13565288430867986
9.62,-2.99,0.1744976818927194
9.62,-3.54,0.10479591462429279
9.77,-3.18,0.14091807667834932
9.77,-3.76,0.08388640517081683
9.92,-3.33,0.11882050012729894
9.93,-3.92,0.07093478794367694
10.08,-3.67,0.08499047261512255
10.08,-4.29,0.05106593810845058
10.23,-4.49,0.04247306823638218
10.39,-4.25,0.04953436740071146
10.38,-4.74,0.03422347488256284
10.53,-4.54,0.038557937086221
9.18,-0.98,1.9717053671225924
9.18,-1.13,1.6435377282067187
9.33,-1.02,1.8043623741588184
9.32,-1.28,1.3109464366748655
9.33,-1.54,0.9400614237003003
9.48,-1.14,1.49970370932063
9.48,-1.44,1.0284625046834728
9.47,-1.75,0.7007742083750417
9.63,-1.2,1.340143177648494
9.63,-1.54,0.8751222637907826
9.63,-1.97,0.51906660697616
9.78,-1.43,0.9692758029561455
9.78,-1.78,0.6293533338387041
9.78,-2.15,0.4078291248535013
9.92,-1.71,0.6638566860799195
9.92,-2.27,0.3457799720497822
10.07,-1.75,0.6116786329059395
10.07,-2.35,0.3066862690543608
10.23,-1.99,0.4446824229803725
10.23,-2.61,0.2248847033807826
10.38,-2.11,0.3754141175223734
10.38,-2.73,0.19280949257952426
10.55,-2.52,0.23152141356701386
9.14,-0.92,2.1347867508181197
8.96,-1.25,1.4952515709632148
8.8,-1.72,0.8543311222414203
8.77,-2.24,0.464473981063477
8.78,-2.94,0.22140524311261922
8.95,-3.92,0.08769756088002786
9.1,-4.95,0.03840805289366524
10.0,-0.69,1.9332605090333843
9.85,-0.87,1.8267863113712768
9.83,-1.21,1.2591582792739755
9.83,-1.71,0.6774647676410445
9.82,-2.24,0.365330243492482
9.84,-2.97,0.169768684034592
9.86,-3.89,0.07378668306634394
9.76,-5.06,0.03084069115269712
9.93,-6.37,0.012813007632124828
10.96,-0.46,1.0469832324029875
10.87,-0.6,1.4000169808368357
10.85,-0.88,1.3774375657193954
10.86,-1.18,1.020439557573257
10.86,-1.69,0.5551176896514473
10.83,-2.24,0.2961610492170818
10.82,-2.87,0.15360359621503808
10.81,-3.92,0.059601270650091964
10.78,-4.93,0.027628708109863124
10.7,-6.97,0.007815788399401873
10.7,-8.36,0.0038183688884998856
