E,t,xsec
9.92,-0.63,51.68283143503691
9.93,-0.73,44.346995809202696
10.08,-0.6,59.3411495937902
10.08,-0.7,50.727190277120805
10.08,-0.8,43.397757504181826
10.08,-0.9,37.155192774785434
10.07,-1.05,29.292252569507898
10.23,-0.57,67.29963768258004
10.23,-0.67,57.637004816183186
10.23,-0.77,49.40393209894442
10.23,-0.87,42.381504247892245
10.22,-0.97,36.180780655974445
10.23,-1.12,28.984961261358283
10.38,-0.54,75.89196406965318
10.38,-0.64,65.10128142989957
10.38,-0.74,55.896067376609395
10.38,-0.84,48.034546220355665
10.38,-0.94,41.313403457485485
10.38,-1.09,33.00285220094195
10.56,-0.51,86.2910304930168
10.56,-0.61,74.15170957107543
10.55,-0.71,63.487015292116325
10.55,-0.81,54.654316816814124
10.55,-0.91,47.092750193897594
10.55,-1.06,37.72659628616108
10.54,-1.26,28.00066486347972
9.17,-0.87,19.761096100751338
9.18,-0.96,17.02478440187753
9.18,-1.06,14.274331661644666
9.33,-0.8,25.79857199038639
9.33,-0.92,20.9922764942184
9.33,-1.07,16.24114994620325
9.33,-1.25,11.945367352876486
9.48,-0.75,31.656211988929698
9.48,-0.85,26.77532706395805
9.48,-0.95,22.655685166532933
9.48,-1.1,17.645680769008592
9.48,-1.3,12.661444042303094
9.63,-0.71,37.72583436446706
9.63,-0.81,32.01505573160749
9.63,-0.91,27.1825917123594
9.63,-1.03,22.350731756177186
9.63,-1.18,17.516754576714625
9.63,-1.36,13.093545208513017
9.78,-0.67,44.48653786481763
9.78,-0.77,37.858096073583354
9.78,-0.87,32.23713645864255
9.78,-0.99,26.602873630323067
9.78,-1.17,19.97283124354693
9.78,-1.43,13.242870007630145
9.93,-0.68,48.01120626725039
9.93,-0.88,34.98505250957449
9.93,-1.1,24.774218641225485
8.8,-1.93,1.6672774093724887
9.0,-2.24,1.4210469546805784
9.0,-2.64,0.8128086942642362
9.18,-2.34,1.6078170989130494
9.17,-2.87,0.7873274023742566
9.32,-2.61,1.3130350237430493
9.33,-3.15,0.7081868644641959
9.48,-2.73,1.3550099755543443
9.47,-3.29,0.7067970499399623
9.62,-2.99,1.1310434851304896
9.62,-3.54,0.6402675557096827
9.77,-3.18,1.0445677102048663
9.77,-3.76,0.5932057259010746
9.92,-3.33,1.0066397457629128
9.93,-3.92,0.5761817389503247
10.08,-3.67,0.7964006989111857
10.08,-4.29,0.4771849309035243
10.23,-4.49,0.44516514836093674
10.39,-4.25,0.5710514917475221
10.38,-4.74,0.40208593814488897
10.53,-4.54,0.4867452409100736
9.18,-0.98,16.435187585997046
9.18,-1.13,12.618386133334122
9.33,-1.02,17.690483889568966
9.32,-1.28,11.236881096456186
9.33,-1.54,7.298866286339566
9.48,-1.14,16.510286632343394
9.48,-1.44,10.046774714274338
9.47,-1.75,5.980771374509628
9.63,-1.2,16.958063744490868
9.63,-1.54,9.80372297122649
9.63,-1.97,4.957957409027708
9.78,-1.43,13.242870007630145
9.78,-1.78,7.666168836465398
9.78,-2.15,4.35103185541016
9.92,-1.71,9.589341523504785
9.92,-2.27,4.140863391607097
10.07,-1.75,10.125891521017268
10.07,-2.35,4.199850192855399
10.23,-1.99,7.998591007258961
10.23,-2.61,3.3263071925503263
10.38,-2.11,7.490702580992199
10.38,-2.73,3.180129362046143
10.55,-2.52,4.778256304009824
9.14,-0.92,17.560196573171545
8.96,-1.25,7.833357843512207
8.8,-1.72,2.478871516354586
8.77,-2.24,0.9243635817918796
8.78,-2.94,0.4974081788529773
8.95,-3.92,0.47988624854759265
9.1,-4.95,0.45454765140812986
10.0,-0.69,49.237469544194674
9.85,-0.87,33.76853341968842
9.83,-1.21,19.44631610578627
9.83,-1.71,8.91401202341632
9.82,-2.24,3.9485547522637003
9.84,-2.97,1.4458030572147127
9.86,-3.89,0.566549040192893
9.76,-5.06,0.3508268404205769
9.93,-6.37,0.2756421557910123
10.96,-0.46,109.61807567294183
10.87,-0.6,85.95118652547916
10.85,-0.88,56.5071389468453
10.86,-1.18,36.83824127279234
10.86,-1.69,17.978630506455218
10.83,-2.24,8.337645287907158
10.82,-2.87,3.611301641928265
10.81,-3.92,1.0209255896801113
10.78,-4.93,0.4074980082060852
10.7,-6.97,0.19335364852251466
10.7,-8.36,0.15111722661080665
