E,t,xsec
9.92,-0.63,7.981178118528428
9.93,-0.73,7.884777544201706
10.08,-0.6,7.6568292942778475
10.08,-0.7,7.655878951353372
10.08,-0.8,7.489320986805769
10.08,-0.9,7.235228009241571
10.07,-1.05,6.794874756615284
10.23,-0.57,7.330396011079956
10.23,-0.67,7.416151182661575
10.23,-0.77,7.303357935489176
10.23,-0.87,7.083962888021847
10.22,-0.97,6.823955123627548
10.23,-1.12,6.355960041867494
10.38,-0.54,6.978519541699272
10.38,-0.64,7.162984782622648
10.38,-0.74,7.110918061244525
10.38,-0.84,6.9302148551396066
10.38,-0.94,6.68153897270411
10.38,-1.09,6.252619629802829
10.56,-0.51,6.547413454761887
10.56,-0.61,6.845734364165738
10.55,-0.71,6.879832889638988
10.55,-0.81,6.744104260601402
10.55,-0.91,6.525425741779726
10.55,-1.06,6.12560097837869
10.54,-1.26,5.56797638874869
9.17,-0.87,8.99946064048368
9.18,-0.96,8.631204010724918
9.18,-1.06,8.227099645207272
9.33,-0.8,8.897076179023966
9.33,-0.92,8.486468754224417
9.33,-1.07,7.911050482072082
9.33,-1.25,7.213813705693261
9.48,-0.75,8.71924931240212
9.48,-0.85,8.435280252422318
9.48,-0.95,8.092301634743768
9.48,-1.1,7.536399779341895
9.48,-1.3,6.797331883181083
9.63,-0.71,8.49274924156329
9.63,-0.81,8.26558759338673
9.63,-0.91,7.958577139078807
9.63,-1.03,7.542624536280041
9.63,-1.18,7.00341626048963
9.63,-1.36,6.374017361410826
9.78,-0.67,8.242495285008536
9.78,-0.77,8.083377035091365
9.78,-0.87,7.818748362342623
9.78,-0.99,7.43447204979699
9.78,-1.17,6.815067011421295
9.78,-1.43,5.947932376476427
9.93,-0.68,7.946324194696153
9.93,-0.88,7.533834996591419
9.93,-1.1,6.834220843695085
8.8,-1.93,5.631349244984402
9.0,-2.24,4.563319026058014
9.0,-2.64,3.7122230700050345
9.18,-2.34,4.16112021029772
9.17,-2.87,3.1829087861211725
9.32,-2.61,3.5119637712333254
9.33,-3.15,2.678504451112198
9.48,-2.73,3.1935403210923994
9.47,-3.29,2.429631622580153
9.62,-2.99,2.7239791864955416
9.62,-3.54,2.0907240685520945
9.77,-3.18,2.406540483999545
9.77,-3.76,1.829702686963379
9.92,-3.33,2.171482576704302
9.93,-3.92,1.6460588587385327
10.08,-3.67,1.791647342755527
10.08,-4.29,1.3536927378451438
10.23,-4.49,1.2043086901292124
10.39,-4.25,1.2966472033429808
10.38,-4.74,1.0508424509087158
10.53,-4.54,1.1122607588207614
9.18,-0.98,8.551300999765358
9.18,-1.13,7.941972953245546
9.33,-1.02,8.105966925942003
9.32,-1.28,7.116257104125822
9.33,-1.54,6.174900474244619
9.48,-1.14,7.38641843682027
9.48,-1.44,6.307666219063914
9.47,-1.75,5.346922736393232
9.63,-1.2,6.931934840856769
9.63,-1.54,5.787560003483402
9.63,-1.97,4.592389302258763
9.78,-1.43,5.947932376476427
9.78,-1.78,4.927566923131092
9.78,-2.15,4.0455861997347675
9.92,-1.71,4.970614209470103
9.92,-2.27,3.691124618627043
10.07,-1.75,4.718461769104377
10.07,-2.35,3.434883035708095
10.23,-1.99,4.019946474454589
10.23,-2.61,2.9114574756006246
10.38,-2.11,3.6630420751434
10.38,-2.73,2.660930816461409
10.55,-2.52,2.864778024332574
9.14,-0.92,8.871605696216978
8.96,-1.25,7.845649077275138
8.8,-1.72,6.3089023517684915
8.77,-2.24,4.807893091097159
8.78,-2.94,3.3545050879422713
8.95,-3.92,2.027147421585816
9.1,-4.95,1.252036618510813
10.0,-0.69,7.808625287248965
9.85,-0.87,7.6975504073995
9.83,-1.21,6.606708866166647
9.83,-1.71,5.063802182766056
9.82,-2.24,3.8269995315058343
9.84,-2.97,2.628797164673264
9.86,-3.89,1.6925120444915447
9.76,-5.06,1.0396605349691714
9.93,-6.37,0.6000202904367549
10.96,-0.46,5.616929905207598
10.87,-0.6,6.361341404707017
10.85,-0.88,6.202311101017394
10.86,-1.18,5.442984658059184
10.86,-1.69,4.1765944814643925
10.83,-2.24,3.1402271367978103
10.82,-2.87,2.2822632688554108
10.81,-3.92,1.3883938784589949
10.78,-4.93,0.899313254607257
10.7,-6.97,0.4148110895543722
10.7,-8.36,0.2578953554266049
