E,t,xsec
9.92,-0.63,9.337631144793539
9.93,-0.73,8.226653883274489
10.08,-0.6,8.749351606931803
10.08,-0.7,9.45268409079649
10.08,-0.8,9.738035411587894
10.08,-0.9,7.739805507280116
10.07,-1.05,7.106429621712576
10.23,-0.57,8.40442869752125
10.23,-0.67,8.605407589947282
10.23,-0.77,8.128242713977418
10.23,-0.87,7.653944839607454
10.22,-0.97,7.233131620908739
10.23,-1.12,6.615020969970107
10.38,-0.54,11.903058447424431
10.38,-0.64,8.519463226278202
10.38,-0.74,8.03214873752496
10.38,-0.84,7.573540246140177
10.38,-0.94,7.142531760117572
10.38,-1.09,6.794357529028724
10.56,-0.51,8.144775471230506
10.56,-0.61,8.40930667130742
10.55,-0.71,7.93112647148399
10.55,-0.81,8.038067295230201
10.55,-0.91,7.0427836180240435
10.55,-1.06,6.458034431359656
10.54,-1.26,5.750727368445843
9.17,-0.87,9.462836152648848
9.18,-0.96,8.972056206514278
9.18,-1.06,8.472999437850637
9.33,-0.8,9.519400715524865
9.33,-0.92,8.893103744995184
9.33,-1.07,8.175945086756004
9.33,-1.25,7.359324411783077
9.48,-0.75,9.484417116021568
9.48,-0.85,8.971405534308314
9.48,-0.95,8.049764045224402
9.48,-1.1,7.772891098508899
9.48,-1.3,6.929625789658875
9.63,-0.71,9.426453085591652
9.63,-0.81,8.210509163035438
9.63,-0.91,8.40818780661045
9.63,-1.03,7.847297870934922
9.63,-1.18,7.196940736085906
9.63,-1.36,6.491032462921458
9.78,-0.67,9.372339753943198
9.78,-0.77,8.844319554833072
9.78,-0.87,8.350780373766376
9.78,-0.99,7.790769660172387
9.78,-1.17,7.0230294098219535
9.78,-1.43,6.04748558819171
9.93,-0.68,9.042623982722658
9.93,-0.88,7.924809983827867
9.93,-1.1,7.095436192579254
8.8,-1.93,5.649790367617189
9.0,-2.24,4.573484444191949
9.0,-2.64,3.7144439433885412
9.18,-2.34,4.170434001855799
9.17,-2.87,3.18566548943894
9.32,-2.61,3.5176847749026106
9.33,-3.15,2.6802572559791527
9.48,-2.73,3.1985546344412583
9.47,-3.29,2.4311547056137597
9.62,-2.99,2.7272641361169185
9.62,-3.54,2.0917839812085632
9.77,-3.18,2.4090766696641643
9.77,-3.76,1.8305010463579612
9.92,-3.33,2.173614241069098
9.93,-3.92,1.6467549037073337
10.08,-3.67,1.7929365592680306
10.08,-4.29,1.3540868278147127
10.23,-4.49,1.2046287148982857
10.39,-4.25,1.2972414095872948
10.38,-4.74,1.0510791771814707
10.53,-4.54,1.112667451171734
9.18,-0.98,8.870124670111597
9.18,-1.13,8.139672677278007
9.33,-1.02,8.398153031828793
9.32,-1.28,7.249452643861377
9.33,-1.54,6.241363720028073
9.48,-1.14,7.599466948047763
9.48,-1.44,6.398363206002237
9.47,-1.75,5.388697341079159
9.63,-1.2,7.115922007481968
9.63,-1.54,5.861079499101238
9.63,-1.97,4.619227077968611
9.78,-1.43,6.04748558819171
9.78,-1.78,4.970882497172043
9.78,-2.15,4.064878592585345
9.92,-1.71,5.02367334994516
9.92,-2.27,3.7070039853644823
10.07,-1.75,4.768669551125244
10.07,-2.35,3.4491609641203262
10.23,-1.99,4.050916544102692
10.23,-2.61,2.920664199744237
10.38,-2.11,3.6881321004692786
10.38,-2.73,2.668724532742391
10.55,-2.52,2.876735311142523
9.14,-0.92,9.258669726693357
8.96,-1.25,7.972562187707429
8.8,-1.72,6.340647721237642
8.77,-2.24,4.816033446867222
8.78,-2.94,3.3555279717979527
8.95,-3.92,2.0269091145312803
9.1,-4.95,1.2517627934507933
10.0,-0.69,8.905920701225208
9.85,-0.87,8.236132711099819
9.83,-1.21,6.792216320116076
9.83,-1.71,5.115484413040441
9.82,-2.24,3.843257382740536
9.84,-2.97,2.632757980572803
9.86,-3.89,1.6931921782215653
9.76,-5.06,1.0396056208486897
9.93,-6.37,0.5999374196824456
10.96,-0.46,8.726027274041645
10.87,-0.6,8.028546584994015
10.85,-0.88,6.789758127821099
10.86,-1.18,5.678451729712881
10.86,-1.69,4.242204939321706
10.83,-2.24,3.161645595694133
10.82,-2.87,2.289227500719824
10.81,-3.92,1.389708952458393
10.78,-4.93,0.899576971911569
10.7,-6.97,0.41478250426196855
10.7,-8.36,0.25786620692168327
