E,t,xsec
9.92,-0.63,175.48481915276332
9.93,-0.73,143.38986822228355
10.08,-0.6,193.5536653986138
10.08,-0.7,183.0742273469765
10.08,-0.8,378.4842201554627
10.08,-0.9,140.72870025169698
10.07,-1.05,112.62905870513956
10.23,-0.57,218.1987994459047
10.23,-0.67,210.94784470993284
10.23,-0.77,163.05778946631395
10.23,-0.87,164.81508159913867
10.22,-0.97,249.64046002316866
10.23,-1.12,95.6952673707182
10.38,-0.54,184.71077650875833
10.38,-0.64,280.61045445831394
10.38,-0.74,344.68877437402676
10.38,-0.84,156.76047726389925
10.38,-0.94,195.47073002164257
10.38,-1.09,117.52247120463394
10.56,-0.51,229.4839335471666
10.56,-0.61,180.11535769696835
10.55,-0.71,154.82077270507284
10.55,-0.81,165.499281258549
10.55,-0.91,267.6267161079332
10.55,-1.06,241.93015108629217
10.54,-1.26,89.76069950204672
9.17,-0.87,143.73839011324947
9.18,-0.96,96.79664236757476
9.18,-1.06,94.60887601462721
9.33,-0.8,117.73071775746794
9.33,-0.92,114.66799061196281
9.33,-1.07,775.4889136333031
9.33,-1.25,267.82065909078375
9.48,-0.75,134.78376019387815
9.48,-0.85,579.3021192598111
9.48,-0.95,201.02410976837714
9.48,-1.1,282.7337760921307
9.48,-1.3,87.09861074106581
9.63,-0.71,147.39097697622853
9.63,-0.81,174.20194379477203
9.63,-0.91,122.7151594753996
9.63,-1.03,102.0430863387614
9.63,-1.18,78.3256077377878
9.63,-1.36,88.33706256878678
9.78,-0.67,242.43775307097408
9.78,-0.77,167.25935461025247
9.78,-0.87,121.67718633799313
9.78,-0.99,113.85641086301314
9.78,-1.17,83.49953211698949
9.78,-1.43,84.68282253259187
9.93,-0.68,210.47486139326543
9.93,-0.88,372.80004561360306
9.93,-1.1,677.809215593642
8.8,-1.93,32.21785779322653
9.0,-2.24,24.373309468632854
9.0,-2.64,15.800166559309671
9.18,-2.34,21.3502477629433
9.17,-2.87,11.214890528291095
9.32,-2.61,16.862288182957347
9.33,-3.15,15.658922310334377
9.48,-2.73,25.63797402936984
9.47,-3.29,9.443479341726
9.62,-2.99,13.179774110791442
9.62,-3.54,7.653322425599999
9.77,-3.18,11.037757176315194
9.77,-3.76,6.606001867120884
9.92,-3.33,9.884910003401938
9.93,-3.92,5.1617185441325955
10.08,-3.67,7.532361465057434
10.08,-4.29,41.9482829268659
10.23,-4.49,28.499694540679357
10.39,-4.25,4.815870706211481
10.38,-4.74,3.071572324501099
10.53,-4.54,6.746587581612732
9.18,-0.98,99.2295337488061
9.18,-1.13,83.51039257602284
9.33,-1.02,97.41598169013372
9.32,-1.28,117.9411921867938
9.33,-1.54,54.847515771675674
9.48,-1.14,150.10095473498131
9.48,-1.44,108.26986800986488
9.47,-1.75,44.79720169488602
9.63,-1.2,81.46388273190601
9.63,-1.54,66.2277096840835
9.63,-1.97,36.50381682841547
9.78,-1.43,84.68282253259187
9.78,-1.78,167.34384914159833
9.78,-2.15,31.08339235101778
9.92,-1.71,49.263688887055096
9.92,-2.27,28.145570280067297
10.07,-1.75,157.57134410988112
10.07,-2.35,26.578983210245497
10.23,-1.99,51.05237363313618
10.23,-2.61,21.114590675879526
10.38,-2.11,55.668264690109545
10.38,-2.73,19.2343588064816
10.55,-2.52,26.477874209568157
9.14,-0.92,107.71940364406515
8.96,-1.25,71.01297434449893
8.8,-1.72,83.10596208862137
8.77,-2.24,23.530685645096852
8.78,-2.94,15.438032582662714
8.95,-3.92,3.064617630733266
9.1,-4.95,1.535662477495633
10.0,-0.69,300.6319101966029
9.85,-0.87,125.86318768069681
9.83,-1.21,109.94308194140277
9.83,-1.71,53.35988438934647
9.82,-2.24,28.56174915367118
9.84,-2.97,12.799988792400173
9.86,-3.89,6.481109427144416
9.76,-5.06,1.8316431172527732
9.93,-6.37,0.6011924026888124
10.96,-0.46,211.478754514076
10.87,-0.6,179.60449711872707
10.85,-0.88,292.36646314193996
10.86,-1.18,120.30777399549926
10.86,-1.69,59.253835279583456
10.83,-2.24,76.08292388034606
10.82,-2.87,18.865150393000363
10.81,-3.92,6.980067840640698
10.78,-4.93,2.5666740185691452
10.7,-6.97,0.45417235834482667
10.7,-8.36,0.14394830414408813
