E,t,xsec
9.92,-0.63,65.00469537138426
9.93,-0.73,54.131132626890526
10.08,-0.6,69.09541278626749
10.08,-0.7,57.29202398955143
10.08,-0.8,47.93002364524481
10.08,-0.9,40.47180908808196
10.07,-1.05,31.868338895058955
10.23,-0.57,73.53406614511118
10.23,-0.67,60.724596024607685
10.23,-0.77,50.6234187667376
10.23,-0.87,42.57363371006204
10.22,-0.97,36.10323966202144
10.23,-1.12,28.60173766695762
10.38,-0.54,78.37484136039879
10.38,-0.64,64.45699934851842
10.38,-0.74,53.52599887315806
10.38,-0.84,44.846327540087174
10.38,-0.94,37.8922752505063
10.38,-1.09,29.87146245736154
10.56,-0.51,83.72216581378619
10.56,-0.61,68.56363574024569
10.55,-0.71,56.690618582158386
10.55,-0.81,47.315894184130734
10.55,-0.91,39.83301196100259
10.55,-1.06,31.233465605990155
10.54,-1.26,23.17266461828224
9.17,-0.87,42.36153042244204
9.18,-0.96,36.802583312858175
9.18,-1.06,31.7046099622792
9.33,-0.8,47.5834940733647
9.33,-0.92,39.14967041779496
9.33,-1.07,31.186621221775397
9.33,-1.25,24.241620319028073
9.48,-0.75,51.89038720534219
9.48,-0.85,43.837946135980445
9.48,-0.95,37.34510081234182
9.48,-1.1,29.79020064404914
9.48,-1.3,22.57861499355185
9.63,-0.71,55.80537331883475
9.63,-0.81,46.91919507413721
9.63,-0.91,39.78729300315115
9.63,-1.03,32.99120159212373
9.63,-1.18,26.494465700603726
9.63,-1.36,20.767582938622752
9.78,-0.67,60.16366776759739
9.78,-0.77,50.336577895802414
9.78,-0.87,42.48762455307352
9.78,-0.99,35.04500021084168
9.78,-1.17,26.790399419133603
9.78,-1.43,18.87675472016423
9.93,-0.68,59.257098939652856
9.93,-0.88,41.816103382290585
9.93,-1.1,29.59566091836759
8.8,-1.93,11.485231779946018
9.0,-2.24,8.463615318446765
9.0,-2.64,6.074254564297972
9.18,-2.34,7.620304331354754
9.17,-2.87,4.999876244092805
9.32,-2.61,6.000686540071016
9.33,-3.15,4.013367499489106
9.48,-2.73,5.36277810378249
9.47,-3.29,3.582707882265873
9.62,-2.99,4.338152755694977
9.62,-3.54,2.9814231237275606
9.77,-3.18,3.7196166289577066
9.77,-3.76,2.5454315533654794
9.92,-3.33,3.2927670180943776
9.93,-3.92,2.2602091547129533
10.08,-3.67,2.5825700796471907
10.08,-4.29,1.786935764337339
10.23,-4.49,1.566409851936449
10.39,-4.25,1.7501625459209524
10.38,-4.74,1.341660102314018
10.53,-4.54,1.4610698784854144
9.18,-0.98,35.70004995616711
9.18,-1.13,28.684279222057608
9.33,-1.02,33.57992040625309
9.32,-1.28,23.299245580135896
9.33,-1.54,16.838789081783926
9.48,-1.14,28.124194739103277
9.48,-1.44,18.87200665745488
9.47,-1.75,13.170042267557687
9.63,-1.2,25.760996737888764
9.63,-1.54,16.59063408349308
9.63,-1.97,10.343650858597183
9.78,-1.43,18.87675472016423
9.78,-1.78,12.497774097364656
9.78,-2.15,8.568871500928385
9.92,-1.71,13.3986313445323
9.92,-2.27,7.567690732200361
10.07,-1.75,12.695341206215284
10.07,-2.35,6.942805850349582
10.23,-1.99,9.699118806265627
10.23,-2.61,5.457790985500745
10.38,-2.11,8.4936918817083
10.38,-2.73,4.870631248542154
10.55,-2.52,5.7158691362151055
9.14,-0.92,39.145934831709056
8.96,-1.25,24.502743601024054
8.8,-1.72,14.2149235898195
8.77,-2.24,8.655474150319193
8.78,-2.94,4.988816823787687
8.95,-3.92,2.603293391113585
9.1,-4.95,1.4687987200429
10.0,-0.69,58.26251270144386
9.85,-0.87,42.501280343079905
9.83,-1.21,25.28635119372929
9.83,-1.71,13.468479601614126
9.82,-2.24,7.848486989816759
9.84,-2.97,4.289758703112732
9.86,-3.89,2.3235007275398583
9.76,-5.06,1.251792670416499
9.93,-6.37,0.6721130450602023
10.96,-0.46,94.05404158443042
10.87,-0.6,70.4072274245296
10.85,-0.88,41.94954874454397
10.86,-1.18,25.882172433616127
10.86,-1.69,13.049799375854096
10.83,-2.24,7.221620643094389
10.82,-2.87,4.16291923674453
10.81,-3.92,2.01138255184935
10.78,-4.93,1.1482962119243765
10.7,-6.97,0.46451886704696393
10.7,-8.36,0.2761094588919694
