E,t,xsec
9.92,-0.63,0.08209526705149302
9.93,-0.73,0.04262546262908062
10.08,-0.6,0.105141403702358
10.08,-0.7,0.076213096571467
10.08,-0.8,0.10762698145567505
10.08,-0.9,0.01576500922040356
10.07,-1.05,0.0072040547770377255
10.23,-0.57,0.1379875595565944
10.23,-0.67,0.07024443842333096
10.23,-0.77,0.034372133952305914
10.23,-0.87,0.0189887239417908
10.22,-0.97,0.017934959077445602
10.23,-1.12,0.005273425276138668
10.38,-0.54,0.4210355793452025
10.38,-0.64,0.1407282652885035
10.38,-0.74,0.13198652171990363
10.38,-0.84,0.022956448813078414
10.38,-0.94,0.013236478560143088
10.38,-1.09,0.009852999517087149
10.56,-0.51,0.22470341221858953
10.56,-0.61,0.12938728360714555
10.55,-0.71,0.06072467472919757
10.55,-0.81,0.043659123201751346
10.55,-0.91,0.02528504557049708
10.55,-1.06,0.0073168296325348495
10.54,-1.26,0.004070289637466494
9.17,-0.87,0.03229025932607919
9.18,-0.96,0.009714861896908745
9.18,-1.06,0.0058257088942467805
9.33,-0.8,0.024798560560287605
9.33,-0.92,0.012445686894982856
9.33,-1.07,0.005707144267157581
9.33,-1.25,0.0025065638830105773
9.48,-0.75,0.04463107955260227
9.48,-0.85,0.06723227441820985
9.48,-0.95,0.015020421692995582
9.48,-1.1,0.01171394785096995
9.48,-1.3,0.002092397974071418
9.63,-0.71,0.04655567994115679
9.63,-0.81,0.03519099822964485
9.63,-0.91,0.021435578662988345
9.63,-1.03,0.007419314064821906
9.63,-1.18,0.004041471737860011
9.63,-1.36,0.00168508988616956
9.78,-0.67,0.07492603254365518
9.78,-0.77,0.03305932026249919
9.78,-0.87,0.01782285131127065
9.78,-0.99,0.00932670351336753
9.78,-1.17,0.004034142499749163
9.78,-1.43,0.0013117965676898785
9.93,-0.68,0.0644768969609022
9.93,-0.88,0.03919297066140379
9.93,-1.1,0.005545952891771678
8.8,-1.93,0.00017511930269212286
9.0,-2.24,7.527274148516387e-05
9.0,-2.64,2.61257424608363e-05
9.18,-2.34,6.117662458631821e-05
9.17,-2.87,1.619983874270741e-05
9.32,-2.61,3.2048374332695214e-05
9.33,-3.15,9.274987604045022e-06
9.48,-2.73,2.5338781976904623e-05
9.47,-3.29,7.31392807080822e-06
9.62,-2.99,1.4658973662254632e-05
9.62,-3.54,4.700734010181306e-06
9.77,-3.18,1.0242934479638884e-05
9.77,-3.76,3.281999209418015e-06
9.92,-3.33,7.897974275363637e-06
9.93,-3.92,2.6054670952957577e-06
10.08,-3.67,4.30886622361442e-06
10.08,-4.29,1.4590426854793369e-06
10.23,-4.49,1.1133000767360774e-06
10.39,-4.25,1.7249364873095322e-06
10.38,-4.74,7.959052397832274e-07
10.53,-4.54,1.1331423985519488e-06
9.18,-0.98,0.008741587796128807
9.18,-1.13,0.004159830781184198
9.33,-1.02,0.0073581909642520945
9.32,-1.28,0.0021974715728975388
9.33,-1.54,0.0007853981567160249
9.48,-1.14,0.005424071354990821
9.48,-1.44,0.0011887828587906274
9.47,-1.75,0.00038900199974695117
9.63,-1.2,0.0033272774273533402
9.63,-1.54,0.0008417882890890785
9.63,-1.97,0.00020093982863598486
9.78,-1.43,0.0013117965676898785
9.78,-1.78,0.0003781172805185778
9.78,-2.15,0.0001230158768629175
9.92,-1.71,0.0004903611196507742
9.92,-2.27,9.125265293894537e-05
10.07,-1.75,0.0004413988005209627
10.07,-2.35,7.626266780981063e-05
10.23,-1.99,0.0002142606775156586
10.23,-2.61,4.1169186085006384e-05
10.38,-2.11,0.00015525726151800022
10.38,-2.73,3.202747098181097e-05
10.55,-2.52,5.442673174040114e-05
9.14,-0.92,0.01195709838382519
8.96,-1.25,0.0022793936481319173
8.8,-1.72,0.00035070324209367855
8.77,-2.24,6.818967704103698e-05
8.78,-2.94,1.1231224867308716e-05
8.95,-3.92,1.5512016671103657e-06
9.1,-4.95,2.706290201935888e-07
10.0,-0.69,0.05581715531900754
9.85,-0.87,0.0180169537289879
9.83,-1.21,0.0034858947855743376
9.83,-1.71,0.00048207513387042386
9.82,-2.24,9.673136884435231e-05
9.84,-2.97,1.640091240774054e-05
9.86,-3.89,2.6793441519596384e-06
9.76,-5.06,3.745708548265155e-07
9.93,-6.37,6.677168683625291e-08
10.96,-0.46,0.35252566860339696
10.87,-0.6,0.11448749717634647
10.85,-0.88,0.019205037698032567
10.86,-1.18,0.004318738100611609
10.86,-1.69,0.000605034490905926
10.83,-2.24,0.00011639476827551562
10.82,-2.87,2.5349191692982374e-05
10.81,-3.92,3.3349995161905504e-06
10.78,-4.93,6.802666133709695e-07
10.7,-6.97,5.008658079073911e-08
10.7,-8.36,1.1870246999471841e-08
