E,t,xsec
9.92,-0.63,8.029128499798452
9.93,-0.73,6.335366718671547
10.08,-0.6,8.984194360654685
10.08,-0.7,7.064886389492901
10.08,-0.8,5.579451738854796
10.08,-0.9,4.427330585622893
10.07,-1.05,3.1500425006181194
10.23,-0.57,10.011193611114575
10.23,-0.67,7.865609395182068
10.23,-0.77,6.205881426138884
10.23,-0.87,4.921094580893509
10.22,-0.97,3.909918655685201
10.23,-1.12,2.8126353066434007
10.38,-0.54,11.139319158081474
10.38,-0.64,8.744352828731705
10.38,-0.74,6.892289733639737
10.38,-0.84,5.458351573711532
10.38,-0.94,4.344303711302125
10.38,-1.09,3.1135088685367056
10.56,-0.51,12.455731555305267
10.56,-0.61,9.769704300881173
10.55,-0.71,7.676759178387717
10.55,-0.81,6.073459359328595
10.55,-0.91,4.829214117070402
10.55,-1.06,3.4565336099114035
10.54,-1.26,2.2457760588224156
9.17,-0.87,3.63288633543744
9.18,-0.96,2.957478971331743
9.18,-1.06,2.3541477747800537
9.33,-0.8,4.5200117704906315
9.33,-0.92,3.4116871276267307
9.33,-1.07,2.4237679179928726
9.33,-1.25,1.6294808385878792
9.48,-0.75,5.329495142626854
9.48,-0.85,4.209436066562222
9.48,-0.95,3.339685559922507
9.48,-1.1,2.3805129503477853
9.48,-1.3,1.5395853412157627
9.63,-0.71,6.126318760145424
9.63,-0.81,4.833379822783711
9.63,-0.91,3.8303379692687067
9.63,-1.03,2.9153834821362747
9.63,-1.18,2.092040751701688
9.63,-1.36,1.4233625793977835
9.78,-0.67,7.028613811755777
9.78,-0.77,5.5385897936217665
9.78,-0.87,4.383823553742085
9.78,-0.99,3.3318945901608736
9.78,-1.17,2.235919523627258
9.78,-1.43,1.2890695865976707
9.93,-0.68,7.137670852447367
9.93,-0.88,4.460168206133947
9.93,-1.1,2.7180422817528274
8.8,-1.93,0.3213124041634297
9.0,-2.24,0.19557516438785671
9.0,-2.64,0.09417794364804176
9.18,-2.34,0.177315563048189
9.17,-2.87,0.06896859994770103
9.32,-2.61,0.11684500288923502
9.33,-3.15,0.04686110105318496
9.48,-2.73,0.10222714390015052
9.47,-3.29,0.04013303303641919
9.62,-2.99,0.07042404119196721
9.62,-3.54,0.029153804110521816
9.77,-3.18,0.055359040671734444
9.77,-3.76,0.022436688449027402
9.92,-3.33,0.04666711709974101
9.93,-3.92,0.01913051107220605
10.08,-3.67,0.029775589977811726
10.08,-4.29,0.012041244738403751
10.23,-4.49,0.009794953876944528
10.39,-4.25,0.014763565346909669
10.38,-4.74,0.007485971478442962
10.53,-4.54,0.010539611755438561
9.18,-0.98,2.8245552236576263
9.18,-1.13,2.0119123333086235
9.33,-1.02,2.7132819463222355
9.32,-1.28,1.5218545349018804
9.33,-1.54,0.88409787228402
9.48,-1.14,2.1787517934229412
9.48,-1.44,1.1463007583529323
9.47,-1.75,0.610315921096581
9.63,-1.2,2.003026704453563
9.63,-1.54,0.981416680737901
9.63,-1.97,0.4234497610713234
9.78,-1.43,1.2890695865976707
9.78,-1.78,0.640747328556472
9.78,-2.15,0.3200892425669821
9.92,-1.71,0.7673738011995412
9.92,-2.27,0.2708734058069818
10.07,-1.75,0.7429033278181857
10.07,-2.35,0.24752608651231212
10.23,-1.99,0.495675806318638
10.23,-2.61,0.16742336989012316
10.38,-2.11,0.41628879717540196
10.38,-2.73,0.14419971508762963
10.55,-2.52,0.21499169339732163
9.14,-0.92,3.199226406379198
8.96,-1.25,1.4193502708731915
8.8,-1.72,0.49013550283006363
8.77,-2.24,0.1733710205672313
8.78,-2.94,0.048326228349283615
8.95,-3.92,0.010266505193785903
9.1,-4.95,0.0021864716384278225
10.0,-0.69,7.0936964283857105
9.85,-0.87,4.468307235846606
9.83,-1.21,2.0803104719149936
9.83,-1.71,0.7461194001762537
9.82,-2.24,0.2759402769815021
9.84,-2.97,0.08005180565280857
9.86,-3.89,0.019312248049170373
9.76,-5.06,0.003302678973840203
9.93,-6.37,0.0005843488039090171
10.96,-0.46,15.227506381101866
10.87,-0.6,10.646603413453612
10.85,-0.88,5.501058721961049
10.86,-1.18,2.8514171082184845
10.86,-1.69,1.0220217513560061
10.83,-2.24,0.37360921535167024
10.82,-2.87,0.1316548214516952
10.81,-3.92,0.02766045574440047
10.78,-4.93,0.007017985267549011
10.7,-6.97,0.0005106013960603521
10.7,-8.36,8.139872324433405e-05
